car_id,vehicle_age,km_driven,seller_type
113,13,97000,Individual
114,11,83000,Individual
115,12,60000,Individual
116,11,50000,Individual
117,10,50000,Individual
118,15,15000,Individual
119,15,80000,Individual
120,12,22000,Individual
121,13,60000,Individual
122,10,20000,Individual
123,9,70000,Individual
124,11,35000,Individual
125,15,120000,Individual
126,12,70000,Individual
127,11,80000,Individual
128,9,60000,Individual
129,16,90000,Individual
130,14,100000,Individual
131,12,60000,Individual
132,15,100000,Individual
133,11,70000,Individual
134,11,50000,Individual
135,16,50000,Individual
136,12,63000,Individual
137,15,110000,Individual
138,17,80000,Individual
139,10,50000,Individual
140,11,70000,Individual
141,14,55000,Individual
142,10,170000,Individual
143,11,80000,Individual
144,14,30000,Individual
145,9,75000,Individual
146,17,70000,Individual
147,13,40000,Individual
148,13,20000,Individual
149,19,82000,Individual
150,15,110000,Individual
151,12,80000,Individual
152,9,21000,Individual
153,10,16300,Individual
154,13,110000,Individual
155,11,29000,Individual
156,14,46000,Individual
157,11,87743,Individual
158,10,30000,Individual
159,13,100000,Individual
160,12,46500,Individual
161,9,70000,Individual
162,15,70000,Individual
163,9,75000,Individual
164,13,100000,Individual
165,12,50000,Individual
166,12,30000,Individual
167,11,60000,Individual
168,9,40000,Individual
169,11,20000,Individual
170,9,70000,Individual
171,12,110000,Individual
172,10,25000,Individual
173,11,100000,Individual
174,13,60000,Individual
175,12,68000,Individual
176,13,35000,Individual
177,10,15000,Individual
178,13,50000,Individual
179,14,120000,Individual
180,15,124000,Individual
181,12,35000,Individual
182,15,20000,Individual
183,11,40000,Individual
184,14,25000,Individual
185,11,50000,Individual
186,12,63000,Individual
187,14,90000,Individual
188,9,57000,Individual
189,11,100000,Individual
190,18,90000,Individual
191,13,40000,Individual
192,16,100000,Individual
193,12,80000,Individual
194,10,7000,Individual
195,13,60000,Individual
196,13,110000,Individual
197,13,30000,Individual
198,12,70000,Individual
199,17,110000,Individual
200,13,40000,Individual
201,12,90000,Individual
202,13,50000,Individual
203,15,72145,Individual
204,11,70000,Individual
205,15,70000,Individual
206,11,100000,Individual
207,15,100785,Individual
208,15,80000,Individual
209,10,19600,Individual
210,15,110000,Individual
211,12,80000,Individual
212,14,60000,Individual
213,12,90000,Individual
214,1,10326,Trustmark Dealer
215,9,67000,Dealer
216,19,120000,Individual
217,13,30000,Individual
218,5,61173,Dealer
219,6,35330,Dealer
220,6,48000,Dealer
221,5,87187,Dealer
222,6,64000,Dealer
223,5,71000,Dealer
224,5,39500,Dealer
225,4,30000,Individual
226,6,50000,Individual
227,8,26200,Dealer
228,5,45000,Dealer
229,5,71000,Dealer
230,4,34153,Dealer
231,4,9210,Dealer
232,5,26000,Dealer
233,5,65000,Dealer
234,4,33000,Dealer
235,7,62485,Dealer
236,5,9223,Dealer
237,4,27000,Dealer
238,6,90145,Dealer
239,5,24000,Dealer
240,7,16600,Dealer
241,29,22612,Dealer
242,4,10617,Dealer
243,4,9122,Dealer
244,3,17000,Dealer
245,5,49000,Dealer
246,5,25603,Dealer
247,3,40737,Dealer
248,5,29000,Dealer
249,7,48828,Dealer
250,3,23493,Dealer
251,7,48255,Dealer
252,3,37000,Dealer
253,8,40580,Dealer
254,8,66516,Dealer
255,6,35236,Dealer
256,3,80000,Dealer
257,7,56000,Dealer
258,8,45000,Dealer
259,2,21900,Dealer
260,3,18404,Dealer
261,4,60000,Dealer
262,5,60000,Dealer
263,8,50418,Dealer
264,4,54938,Dealer
265,7,35000,Dealer
266,4,21444,Dealer
267,4,23701,Dealer
268,6,105610,Dealer
269,6,18604,Dealer
270,2,32895,Dealer
271,7,45075,Dealer
272,5,62000,Dealer
273,8,71239,Dealer
274,6,57000,Dealer
275,9,66000,Dealer
276,2,20387,Dealer
277,8,59800,Dealer
278,6,68000,Dealer
279,6,29678,Dealer
280,5,31488,Dealer
281,5,31000,Dealer
282,3,35000,Dealer
283,2,12000,Dealer
284,3,14709,Dealer
285,4,23000,Dealer
286,3,7204,Dealer
287,7,38000,Dealer
288,6,50000,Dealer
289,5,42540,Dealer
290,3,38000,Dealer
291,4,15554,Dealer
292,6,45000,Dealer
293,4,28000,Dealer
294,5,29289,Dealer
295,7,33000,Dealer
296,3,32000,Dealer
297,6,36668,Dealer
298,7,37779,Dealer
299,5,36172,Dealer
300,3,17000,Dealer
301,8,64000,Dealer
302,8,33682,Dealer
303,4,36000,Dealer
304,2,8000,Dealer
305,7,50000,Dealer
306,6,32000,Dealer
307,4,42691,Dealer
308,6,38568,Dealer
309,4,11000,Dealer
310,6,49163,Dealer
311,6,48000,Dealer
312,5,16000,Dealer
313,6,15000,Dealer
314,5,30265,Dealer
315,3,9800,Dealer
316,6,38000,Dealer
317,6,36390,Dealer
318,9,65000,Dealer
319,1,2200,Dealer
320,5,70000,Dealer
321,7,2620,Dealer
322,7,41000,Dealer
323,8,38000,Dealer
324,8,68450,Dealer
325,7,58001,Dealer
326,7,25000,Dealer
327,5,40000,Dealer
328,6,25864,Dealer
329,5,45222,Dealer
330,6,100000,Dealer
331,6,52000,Dealer
332,4,46871,Dealer
333,8,45019,Dealer
334,7,56641,Dealer
335,8,52000,Dealer
336,6,49000,Dealer
337,8,95011,Dealer
338,7,60000,Dealer
339,6,49000,Dealer
340,6,22000,Dealer
341,6,15200,Dealer
342,9,52000,Dealer
343,7,19000,Dealer
344,4,20920,Dealer
345,7,60000,Dealer
346,3,35112,Dealer
347,5,78950,Dealer
348,5,67100,Dealer
349,7,44000,Dealer
350,4,12706,Dealer
351,8,55000,Individual
352,2,25000,Individual
353,5,10370,Individual
354,4,25000,Individual
355,3,12000,Individual
356,5,50000,Individual
357,8,120000,Individual
358,3,22000,Individual
359,6,33000,Individual
360,5,50000,Individual
361,1,5000,Individual
362,2,10300,Individual
363,6,90000,Individual
364,5,30000,Individual
365,7,50080,Individual
366,5,120000,Individual
367,5,50000,Individual
368,7,35000,Individual
369,1,10000,Individual
370,3,20000,Individual
371,4,10000,Individual
372,3,40000,Individual
373,5,60000,Individual
374,6,70000,Individual
375,6,34000,Individual
376,4,90000,Individual
377,9,120000,Individual
378,8,60000,Individual
379,6,19074,Individual
380,7,40000,Individual
381,6,70000,Individual
382,7,40000,Individual
383,4,3600,Individual
384,8,15000,Individual
385,2,1200,Individual
386,4,70000,Individual
387,3,20000,Individual
388,5,52000,Individual
389,3,15000,Individual
390,5,70000,Individual
391,4,35000,Individual
392,8,180000,Individual
393,5,15000,Individual
394,1,5000,Individual
395,5,40000,Individual
396,4,60000,Individual
397,5,35000,Individual
398,6,40000,Individual
399,4,54000,Individual
400,5,30000,Individual
401,4,50000,Individual
402,12,110000,Individual
403,6,35000,Individual
404,6,50000,Individual
405,8,24000,Individual
406,3,40000,Individual
407,4,80000,Individual
408,6,70000,Individual
409,7,35000,Individual
410,2,25000,Individual
411,4,25000,Individual
412,6,30000,Individual
413,2,85000,Individual
414,1,1500,Individual
415,8,25000,Individual
416,7,60000,Individual
417,5,25000,Individual
418,3,20000,Individual
419,3,4600,Individual
420,2,8300,Individual
421,6,85000,Individual
422,2,90000,Individual
423,8,90000,Individual
424,3,29000,Individual
425,1,11000,Individual
426,3,5000,Individual
427,3,25000,Individual
428,6,22000,Individual
429,2,15000,Individual
430,3,20000,Individual
431,7,50000,Individual
432,5,15000,Individual
433,6,50000,Individual
434,5,20000,Individual
435,6,50000,Individual
436,3,55000,Individual
437,2,5000,Individual
438,8,73000,Individual
439,3,25000,Individual
440,4,50000,Individual
441,4,30000,Individual
442,4,10000,Individual
443,3,50000,Individual
444,5,30000,Individual
445,7,40000,Individual
446,3,5000,Individual
447,7,110000,Individual
448,6,50000,Individual
449,6,20000,Individual
450,3,15000,Individual
451,4,60000,Individual
452,3,20000,Individual
453,4,14870,Individual
454,6,30000,Individual
455,5,29000,Individual
456,2,40000,Individual
457,7,80000,Individual
458,5,13000,Individual
459,4,18000,Individual
460,4,20000,Individual
461,8,70000,Individual
462,8,15000,Individual
463,6,90000,Individual
464,8,70000,Individual
465,7,60000,Individual
466,8,60000,Individual
467,3,43063,Individual
468,2,25000,Individual
469,7,70000,Individual
470,5,50000,Individual
471,5,40000,Individual
472,3,40000,Individual
473,4,100000,Individual
474,8,48000,Individual
475,1,5000,Individual
476,7,44000,Individual
477,6,50000,Individual
478,5,25000,Individual
479,6,15000,Individual
480,3,20000,Individual
481,5,50000,Individual
482,6,30000,Individual
483,5,143000,Individual
484,8,80000,Individual
485,4,35000,Individual
486,1,5000,Individual
487,8,90000,Individual
488,6,35000,Individual
489,5,2000,Individual
490,8,25000,Individual
491,7,10000,Individual
492,4,35000,Individual
493,7,30000,Individual
494,8,35000,Individual
495,4,50000,Individual
496,1,5000,Individual
497,1,7000,Individual
498,3,25000,Individual
499,1,5000,Individual
500,1,10000,Individual
501,5,6800,Individual
502,3,15000,Individual
503,8,50000,Individual
504,9,70000,Individual
505,4,150000,Individual
506,7,14971,Trustmark Dealer
507,3,15453,Trustmark Dealer
508,3,33026,Trustmark Dealer
509,4,33977,Trustmark Dealer
510,8,46783,Trustmark Dealer
511,6,29437,Trustmark Dealer
512,2,22987,Trustmark Dealer
513,4,75000,Dealer
514,4,9500,Individual
515,4,30000,Individual
516,5,7000,Dealer
517,5,19000,Dealer
518,5,21200,Dealer
519,5,21000,Dealer
520,5,87000,Dealer
521,5,46260,Dealer
522,6,19000,Dealer
523,5,64000,Dealer
524,6,32000,Dealer
525,5,23000,Dealer
526,1,23323,Dealer
527,2,13931,Dealer
528,6,43719,Dealer
529,4,20000,Dealer
530,5,30000,Dealer
531,5,14000,Dealer
532,5,14183,Dealer
533,1,6000,Individual
534,3,30038,Dealer
535,3,10103,Dealer
536,5,21445,Dealer
537,5,37250,Dealer
538,3,15000,Dealer
539,4,19000,Dealer
540,6,45006,Dealer
541,4,35500,Dealer
542,4,20966,Dealer
543,3,20000,Dealer
544,4,20000,Dealer
545,5,30000,Dealer
546,3,5694,Dealer
547,4,40000,Dealer
548,6,68000,Dealer
549,5,15814,Dealer
550,3,26000,Dealer
551,6,74675,Dealer
552,5,25000,Dealer
553,4,16303,Dealer
554,6,68000,Dealer
555,5,64000,Dealer
556,5,60000,Dealer
557,4,17000,Dealer
558,5,42000,Dealer
559,3,9000,Dealer
560,5,45049,Dealer
561,5,35000,Dealer
562,3,38000,Dealer
563,5,28842,Dealer
564,5,27000,Dealer
565,3,40746,Dealer
566,4,43616,Dealer
567,3,33124,Dealer
568,3,48353,Dealer
569,5,27000,Dealer
570,5,12000,Dealer
571,4,36000,Dealer
572,4,31851,Dealer
573,5,22779,Dealer
574,3,8000,Dealer
575,5,26844,Dealer
576,5,38000,Dealer
577,4,8905,Dealer
578,5,26957,Dealer
579,5,46000,Dealer
580,2,23000,Dealer
581,5,24000,Dealer
582,5,40500,Dealer
583,5,47000,Dealer
584,4,26233,Dealer
585,4,13000,Dealer
586,4,49000,Dealer
587,5,23500,Dealer
588,5,39920,Dealer
589,5,28000,Dealer
590,2,2700,Dealer
591,5,25000,Individual
592,5,41000,Individual
593,5,50000,Individual
594,2,25000,Individual
595,4,30000,Individual
596,5,80000,Individual
597,5,35000,Individual
598,4,15000,Individual
599,5,25000,Individual
600,5,25600,Individual
601,5,35000,Individual
602,2,5000,Individual
603,3,25000,Individual
604,2,40000,Individual
605,5,40000,Individual
606,4,15000,Individual
607,3,50000,Individual
608,3,45000,Individual
609,5,37000,Individual
610,3,30000,Individual
611,1,4000,Individual
612,6,30000,Individual
613,3,39000,Individual
614,4,50000,Individual
615,5,50000,Individual
616,3,7300,Individual
617,3,30000,Individual
618,4,9000,Individual
619,2,10000,Individual
620,2,13000,Individual
621,5,45000,Individual
622,2,15000,Individual
623,5,60000,Individual
624,1,2300,Individual
625,4,8500,Individual
626,5,50000,Individual
627,5,35000,Individual
628,4,28000,Individual
629,5,53000,Individual
630,5,35000,Individual
631,5,35000,Individual
632,2,5000,Individual
633,6,5000,Individual
634,4,28600,Individual
635,4,70000,Individual
636,5,20000,Individual
637,4,25000,Individual
638,2,10000,Individual
639,5,50000,Individual
640,4,30000,Individual
641,2,15000,Individual
642,3,12000,Individual
643,5,22000,Individual
644,3,34000,Individual
645,5,30000,Individual
646,5,10000,Individual
647,6,30000,Individual
648,5,35000,Individual
649,5,76000,Individual
650,3,50000,Individual
651,7,40000,Individual
652,4,20000,Individual
653,5,64000,Individual
654,2,15000,Individual
655,2,10000,Individual
656,5,15000,Individual
657,5,26500,Individual
658,4,18000,Individual
659,3,25000,Individual
660,3,50000,Individual
661,6,30000,Individual
662,4,10000,Individual
663,6,35000,Individual
664,4,30254,Trustmark Dealer
665,5,46583,Trustmark Dealer
666,2,14322,Dealer
667,4,23000,Dealer
668,5,79000,Dealer
669,4,49000,Dealer
670,5,11995,Dealer
671,5,41987,Dealer
672,3,1830,Dealer
673,2,4646,Dealer
674,5,18000,Dealer
675,4,21696,Dealer
676,5,13000,Dealer
677,4,22558,Dealer
678,4,21300,Dealer
679,4,16000,Dealer
680,5,36000,Dealer
681,4,37001,Dealer
682,3,49000,Dealer
683,5,41000,Dealer
684,4,24719,Dealer
685,5,38400,Dealer
686,4,21918,Dealer
687,4,18900,Dealer
688,4,28100,Dealer
689,4,17731,Dealer
690,5,64968,Dealer
691,5,11169,Dealer
692,3,20000,Individual
693,2,10000,Individual
694,5,10000,Individual
695,2,10000,Individual
696,3,15000,Individual
697,3,16500,Individual
698,4,35000,Individual
699,3,20000,Individual
700,5,50000,Individual
701,4,10000,Individual
702,5,35000,Individual
703,3,50000,Individual
704,3,25000,Individual
705,3,25000,Individual
706,4,13000,Individual
707,4,30000,Individual
708,4,27500,Individual
709,4,20000,Individual
710,2,2500,Individual
711,5,30000,Individual
712,4,40000,Individual
713,4,15000,Individual
714,4,80000,Individual
715,4,50500,Dealer
716,1,10000,Dealer
717,3,2300,Dealer
718,5,47000,Dealer
719,4,17000,Dealer
720,14,68128,Dealer
721,14,42125,Dealer
722,13,84915,Dealer
723,11,45154,Dealer
724,12,120000,Individual
725,12,52755,Individual
726,12,64000,Individual
727,12,100000,Individual
728,13,70000,Individual
729,13,120000,Individual
730,13,90000,Individual
731,14,110000,Individual
732,12,50000,Individual
733,14,80000,Individual
734,15,90000,Individual
735,11,78000,Individual
736,14,90000,Individual
737,14,90000,Individual
738,13,108000,Individual
739,2,20660,Dealer
740,2,31000,Dealer
741,3,6500,Individual
742,3,31286,Trustmark Dealer
743,1,9668,Trustmark Dealer
744,5,83000,Dealer
745,3,45874,Dealer
746,9,95000,Dealer
747,5,41224,Dealer
748,10,75000,Dealer
749,5,51000,Dealer
750,6,48000,Dealer
751,5,22000,Dealer
752,8,77000,Dealer
753,5,49000,Dealer
754,3,36274,Dealer
755,4,37000,Dealer
756,5,36100,Dealer
757,13,105379,Dealer
758,4,56000,Dealer
759,8,63000,Dealer
760,8,64000,Dealer
761,5,77950,Dealer
762,6,71000,Dealer
763,3,52000,Dealer
764,9,61000,Dealer
765,11,73000,Dealer
766,1,9000,Dealer
767,3,38000,Dealer
768,4,36954,Dealer
769,5,56302,Dealer
770,5,36044,Dealer
771,5,44000,Dealer
772,4,29852,Dealer
773,8,55000,Dealer
774,6,42100,Dealer
775,4,66628,Dealer
776,8,67370,Dealer
777,3,77000,Dealer
778,2,22000,Dealer
779,7,67532,Dealer
780,4,50000,Individual
781,6,50000,Individual
782,3,50000,Individual
783,6,120000,Individual
784,4,40000,Individual
785,8,70000,Individual
786,3,70000,Individual
787,3,60000,Individual
788,4,60000,Individual
789,3,93000,Individual
790,6,128000,Individual
791,5,65000,Individual
792,7,90000,Individual
793,8,140000,Individual
794,6,80000,Individual
795,5,50000,Individual
796,6,50000,Individual
797,3,45000,Individual
798,3,53237,Trustmark Dealer
799,4,50000,Dealer
800,5,31000,Dealer
801,7,66000,Dealer
802,6,36000,Dealer
803,4,39400,Dealer
804,7,56000,Dealer
805,4,40000,Dealer
806,5,69000,Dealer
807,5,48129,Dealer
808,6,43000,Dealer
809,4,66000,Individual
810,7,91000,Individual
811,4,90000,Individual
812,5,58000,Dealer
813,10,64000,Dealer
814,7,87500,Dealer
815,9,63000,Dealer
816,5,30000,Dealer
817,8,58288,Dealer
818,7,56795,Dealer
819,12,78000,Dealer
820,10,57000,Dealer
821,14,51012,Dealer
822,10,76239,Dealer
823,10,78000,Dealer
824,5,68000,Dealer
825,4,33200,Dealer
826,10,52000,Dealer
827,8,61000,Dealer
828,4,55271,Dealer
829,6,51000,Dealer
830,10,57000,Dealer
831,6,53000,Dealer
832,9,68000,Dealer
833,6,55000,Dealer
834,8,69000,Dealer
835,7,71000,Dealer
836,4,43000,Dealer
837,6,64000,Dealer
838,6,25000,Dealer
839,4,66807,Dealer
840,8,76221,Dealer
841,8,64000,Dealer
842,9,120000,Individual
843,10,120000,Individual
844,10,50000,Individual
845,9,60000,Individual
846,11,80000,Individual
847,10,120000,Individual
848,10,90000,Individual
849,6,40000,Dealer
850,5,27648,Trustmark Dealer
851,3,28000,Dealer
852,2,19000,Dealer
853,2,40000,Dealer
854,4,68000,Dealer
855,2,60000,Individual
856,4,20000,Individual
857,3,20000,Individual
858,2,50000,Individual
859,8,67000,Dealer
860,7,89000,Dealer
861,8,57000,Dealer
862,6,48000,Dealer
863,7,20903,Dealer
864,7,51000,Dealer
865,6,30000,Dealer
866,5,55000,Dealer
867,8,63000,Dealer
868,3,57000,Dealer
869,7,83521,Dealer
870,8,51916,Trustmark Dealer
871,3,27823,Trustmark Dealer
872,3,30650,Dealer
873,11,31535,Dealer
874,7,50000,Individual
875,7,60000,Individual
876,8,67000,Individual
877,3,34500,Dealer
878,6,60200,Dealer
879,2,46000,Dealer
880,7,46311,Dealer
881,7,39000,Dealer
882,6,61000,Dealer
883,4,76000,Dealer
884,6,52000,Dealer
885,4,32000,Dealer
886,4,33304,Dealer
887,6,60200,Dealer
888,11,106000,Dealer
889,10,58000,Dealer
890,8,72000,Dealer
891,3,14917,Dealer
892,3,22000,Individual
893,5,5000,Individual
894,5,64850,Individual
895,2,40000,Individual
896,3,60000,Individual
897,3,35000,Individual
898,2,28500,Individual
899,3,14000,Individual
900,2,25000,Individual
901,5,55000,Individual
902,9,57413,Individual
903,9,109000,Individual
904,1,2000,Individual
905,10,47000,Dealer
906,3,43214,Dealer
907,6,150000,Dealer
908,2,23000,Dealer
909,6,78028,Dealer
910,6,85000,Dealer
911,9,75000,Dealer
912,9,75000,Dealer
913,7,89000,Dealer
914,6,61440,Dealer
915,8,108875,Dealer
916,7,78000,Dealer
917,4,73435,Dealer
918,9,53270,Dealer
919,7,80000,Dealer
920,8,65784,Dealer
921,4,70000,Dealer
922,6,65211,Dealer
923,7,56467,Dealer
924,6,107107,Dealer
925,4,32000,Dealer
926,7,84000,Dealer
927,8,22000,Dealer
928,5,60240,Dealer
929,8,80000,Individual
930,9,63497,Individual
931,3,60000,Individual
932,9,120000,Individual
933,6,50000,Individual
934,8,35000,Individual
935,6,60000,Individual
936,9,60000,Individual
937,7,100000,Individual
938,5,100000,Individual
939,9,100000,Individual
940,5,120000,Individual
941,7,86000,Individual
942,9,100000,Individual
943,7,80000,Individual
944,9,150000,Individual
945,8,59000,Individual
946,8,75000,Individual
947,5,120000,Individual
948,6,58480,Individual
949,7,70000,Individual
950,3,90000,Individual
951,9,120000,Individual
952,7,90000,Individual
953,4,60000,Individual
954,8,60000,Individual
955,7,120000,Individual
956,8,90000,Individual
957,8,293000,Individual
958,7,120000,Individual
959,8,58000,Individual
960,9,35000,Individual
961,4,73000,Individual
962,6,99826,Individual
963,5,120000,Individual
964,9,100000,Individual
965,6,170000,Individual
966,9,68000,Individual
967,3,33500,Individual
968,8,104000,Individual
969,2,5000,Individual
970,8,200000,Individual
971,3,40000,Individual
972,4,60000,Individual
973,3,22000,Individual
974,9,80000,Individual
975,6,93648,Individual
976,9,40000,Individual
977,6,90000,Individual
978,6,145000,Individual
979,7,100000,Individual
980,9,100000,Individual
981,8,39000,Individual
982,8,110000,Individual
983,6,30000,Individual
984,7,140000,Individual
985,8,65000,Individual
986,8,120000,Individual
987,7,30000,Individual
988,13,69000,Dealer
989,8,39000,Dealer
990,11,35000,Dealer
991,8,29000,Dealer
992,13,66403,Dealer
993,11,40000,Dealer
994,11,88290,Dealer
995,8,150624,Dealer
996,10,74000,Dealer
997,11,35000,Dealer
998,7,55000,Dealer
999,12,57313,Dealer
1000,10,59081,Dealer
1001,13,74000,Dealer
1002,12,70521,Dealer
1003,13,64022,Dealer
1004,10,38000,Dealer
1005,11,65000,Dealer
1006,13,38500,Dealer
1007,13,70000,Dealer
1008,13,79000,Dealer
1009,9,40000,Dealer
1010,12,63000,Dealer
1011,12,20000,Dealer
1012,9,52000,Dealer
1013,13,34698,Dealer
1014,13,62000,Dealer
1015,11,50503,Dealer
1016,8,55000,Dealer
1017,10,64000,Dealer
1018,13,56000,Dealer
1019,13,79000,Dealer
1020,12,62000,Dealer
1021,9,55324,Dealer
1022,13,128880,Dealer
1023,13,54000,Dealer
1024,13,75000,Dealer
1025,11,50503,Dealer
1026,8,64000,Dealer
1027,9,106346,Dealer
1028,11,74000,Dealer
1029,12,40000,Dealer
1030,8,76945,Dealer
1031,11,32400,Dealer
1032,13,52000,Dealer
1033,6,76300,Dealer
1034,10,49000,Dealer
1035,14,44000,Dealer
1036,10,64000,Dealer
1037,12,80000,Individual
1038,13,80000,Individual
1039,10,174926,Individual
1040,11,70000,Individual
1041,11,60000,Individual
1042,9,170000,Individual
1043,11,60000,Individual
1044,11,60000,Individual
1045,10,50000,Individual
1046,8,28054,Individual
1047,13,90000,Individual
1048,13,30000,Individual
1049,13,15000,Individual
1050,14,40000,Individual
1051,13,25000,Individual
1052,10,50000,Individual
1053,14,110000,Individual
1054,12,90000,Individual
1055,10,70000,Individual
1056,11,70000,Individual
1057,8,40000,Individual
1058,7,40000,Individual
1059,12,66500,Individual
1060,12,36000,Individual
1061,14,120000,Individual
1062,13,81000,Individual
1063,9,47000,Individual
1064,10,65000,Individual
1065,13,80000,Individual
1066,7,35000,Individual
1067,12,68000,Individual
1068,8,60000,Individual
1069,12,110000,Individual
1070,9,120000,Individual
1071,12,60000,Individual
1072,6,62248,Dealer
1073,7,120000,Dealer
1074,6,89635,Dealer
1075,10,106000,Dealer
1076,6,72658,Dealer
1077,6,56453,Dealer
1078,5,76000,Dealer
1079,5,58800,Dealer
1080,9,68000,Dealer
1081,6,66274,Dealer
1082,12,139000,Dealer
1083,10,73625,Dealer
1084,10,75000,Dealer
1085,10,25000,Individual
1086,13,220000,Individual
1087,15,120000,Individual
1088,13,120000,Individual
1089,10,30000,Individual
1090,10,46000,Individual
1091,4,80000,Individual
1092,11,120000,Individual
1093,13,90000,Individual
1094,2,30000,Individual
1095,14,40000,Individual
1096,18,120000,Individual
1097,14,120000,Individual
1098,5,80000,Individual
1099,11,25000,Individual
1100,12,100000,Individual
1101,11,90000,Individual
1102,8,280000,Individual
1103,16,211121,Individual
1104,4,50000,Individual
1105,13,15000,Individual
1106,11,350000,Individual
1107,6,120000,Individual
1108,6,120000,Individual
1109,10,120000,Individual
1110,7,70000,Individual
1111,10,361446,Individual
1112,18,90000,Individual
1113,12,15000,Individual
1114,15,120000,Individual
1115,14,120000,Individual
1116,11,199900,Individual
1117,14,110000,Individual
1118,10,95000,Individual
1119,2,35000,Individual
1120,5,150000,Individual
1121,12,120000,Individual
1122,14,90000,Individual
1123,10,70000,Individual
1124,10,120000,Individual
1125,4,120000,Individual
1126,10,70000,Individual
1127,7,80000,Individual
1128,3,55000,Individual
1129,11,120000,Individual
1130,9,60000,Individual
1131,6,120000,Individual
1132,9,200000,Individual
1133,5,120000,Individual
1134,11,85000,Individual
1135,6,150000,Individual
1136,7,60000,Individual
1137,12,120000,Individual
1138,4,90000,Individual
1139,13,500000,Individual
1140,13,95000,Individual
1141,10,120000,Individual
1142,10,120000,Individual
1143,15,120000,Individual
1144,11,211000,Individual
1145,10,160000,Individual
1146,1,2500,Individual
1147,7,225000,Individual
1148,15,340000,Individual
1149,10,70000,Individual
1150,11,40000,Individual
1151,15,120000,Individual
1152,11,35000,Individual
1153,3,30000,Individual
1154,12,97000,Individual
1155,8,150000,Individual
1156,3,12572,Dealer
1157,6,60000,Individual
1158,11,40000,Individual
1159,6,16000,Individual
1160,7,53000,Individual
1161,14,56000,Dealer
1162,13,60000,Dealer
1163,14,60000,Individual
1164,11,120000,Individual
1165,13,89346,Individual
1166,11,60200,Individual
1167,14,50000,Individual
1168,12,120000,Individual
1169,14,80000,Individual
1170,3,11000,Dealer
1171,6,74000,Dealer
1172,6,36000,Dealer
1173,3,36000,Dealer
1174,6,40000,Dealer
1175,4,24000,Dealer
1176,9,15000,Individual
1177,15,37000,Dealer
1178,15,64659,Dealer
1179,11,28000,Dealer
1180,13,64521,Dealer
1181,10,69001,Dealer
1182,12,113675,Dealer
1183,12,76000,Dealer
1184,15,75472,Dealer
1185,4,15000,Dealer
1186,9,45000,Dealer
1187,13,11000,Dealer
1188,13,67000,Dealer
1189,16,90000,Individual
1190,16,84000,Individual
1191,16,90000,Individual
